Humidity,Max_temp,Wind_speed,city,date,latitude,longitude
93,46.0,3.0,mataura,1564246152,-46.19,168.86
81,74.03,9.48,rikitea,1564246152,-23.12,-134.97
81,74.03,9.48,attawapiskat,1564246152,-23.12,-134.97
62,88.79,11.34,sardarshahr,1564246153,28.43,74.48
62,88.79,11.34,solovetskiy,1564246153,28.43,74.48
62,88.79,11.34,nizhneyansk,1564246153,28.43,74.48
48,89.01,5.82,lexington,1564246153,38.05,-84.5
75,46.0,8.05,hobart,1564246143,-42.88,147.33
96,70.61,4.47,tougue,1564246154,11.45,-11.68
94,51.89,1.19,sheregesh,1564246154,52.93,87.98
51,80.6,13.42,otradnoye,1564246154,59.77,30.8
36,56.21,3.06,barrow,1564246154,-38.31,-60.23
95,44.01,1.99,burnie,1564246155,-41.05,145.91
95,55.99,6.4,hermanus,1564245957,-34.42,19.24
21,72.59,9.95,yumen,1564246155,40.29,97.04
77,80.33,22.79,atuona,1564246139,-9.8,-139.03
77,80.33,22.79,illoqqortoormiut,1564246139,-9.8,-139.03
87,51.01,6.93,port macquarie,1564246155,-31.43,152.91
98,68.09,2.91,shingu,1564246155,33.72,135.99
61,48.0,12.91,busselton,1564246156,-33.64,115.35
19,60.53,12.33,carnarvon,1564246156,-30.97,22.13
74,78.8,14.99,kapaa,1564246156,22.08,-159.32
66,48.2,6.93,qasigiannguit,1564246156,68.82,-51.19
99,67.19,0.31,nan,1564246156,18.78,100.78
49,93.99,4.7,cabo san lucas,1564245996,22.89,-109.91
94,78.8,5.82,manavalakurichi,1564246157,8.13,77.3
100,51.01,11.36,kaeo,1564246157,-35.1,173.78
54,86.0,13.87,niagara falls,1564246157,43.1,-79.12
87,44.6,8.05,castro,1564246157,-42.48,-73.76
70,86.0,9.17,georgetown,1564246050,6.8,-58.16
71,63.0,5.99,port alfred,1564246158,-33.59,26.89
87,57.2,3.36,bredasdorp,1564246056,-34.53,20.04
58,84.99,10.29,de land,1564246158,40.12,-88.65
47,78.8,13.87,riberalta,1564246158,-11.0,-66.08
54,55.4,4.7,longyearbyen,1564246081,78.22,15.63
54,55.4,4.7,taolanaro,1564246081,78.22,15.63
34,75.65,5.26,ponta do sol,1564246159,-20.63,-46.0
88,78.8,4.7,makakilo city,1564246159,21.35,-158.09
68,84.11,11.86,carutapera,1564246159,-1.2,-46.02
68,71.6,12.75,saint-francois,1564246159,46.42,3.91
94,45.05,3.74,evensk,1564246160,61.92,159.24
62,53.6,9.17,norman wells,1564246160,65.28,-126.83
94,73.0,9.17,hilo,1564246160,19.71,-155.08
87,60.8,3.36,port hardy,1564246160,50.7,-127.42
48,62.6,8.05,narsaq,1564246160,60.91,-46.05
86,41.0,11.41,ushuaia,1564246161,-54.81,-68.31
78,70.79,9.78,guerrero negro,1564246124,27.97,-114.04
57,84.99,14.99,kodiak,1564246161,39.95,-94.76
57,80.6,16.11,arraial do cabo,1564246048,-22.97,-42.02
57,80.6,16.11,samusu,1564246048,-22.97,-42.02
87,51.8,6.35,bethel,1564246161,60.79,-161.76
51,80.6,13.42,nikolskoye,1564246162,59.7,30.79
70,87.8,5.82,freeport,1564246041,26.54,-78.7
62,51.8,11.41,tasiilaq,1564246162,65.61,-37.64
93,59.0,8.05,cape town,1564246077,-33.93,18.42
75,44.6,26.4,punta arenas,1564246162,-53.16,-70.91
39,85.73,11.68,san cristobal,1564246163,14.68,-86.92
99,75.99,4.92,tateyama,1564246163,36.66,137.31
93,54.0,1.23,codrington,1564246163,-28.95,153.24
53,82.0,5.99,saint-prosper,1564246163,46.21,-70.48
43,73.0,11.12,constitucion,1564246163,23.99,-104.67
53,82.99,5.39,ukiah,1564245954,39.15,-123.21
100,53.01,8.05,flinders,1564246164,-34.58,150.85
88,75.2,17.22,vila franca do campo,1564246164,37.72,-25.43
88,53.15,6.55,seymchan,1564246075,62.93,152.39
88,75.2,17.22,ponta delgada,1564246164,37.73,-25.67
73,69.8,12.75,thompson,1564246165,55.74,-97.86
88,41.0,5.01,kaitangata,1564246165,-46.28,169.85
78,66.47,5.06,airai,1564246165,-8.93,125.41
78,66.47,5.06,bengkulu,1564246165,-8.93,125.41
51,89.33,9.08,ati,1564246165,13.21,18.34
88,62.6,10.29,high level,1564246165,58.52,-117.13
67,81.95,13.62,auki,1564246166,12.18,6.51
54,84.99,12.75,hamilton,1564246052,43.26,-79.87
54,84.99,12.75,uralskiy,1564246052,43.26,-79.87
15,69.89,11.32,kruisfontein,1564246101,-34.0,24.73
15,69.89,11.32,sentyabrskiy,1564246101,-34.0,24.73
94,79.0,3.36,katsuura,1564246166,33.93,134.5
